Time,Bx (µT),By (µT),Bz (µT),Vx,Vy,Vz
1757632017.3897166,-112.446,-147.503,-176.67,-15,-20,-20
1757632020.4492571,-112.377,-147.661,-168.42299999999997,-15,-20,-19
1757632023.5253801,-112.079,-147.29699999999997,-160.1,-15,-20,-18
1757632026.598013,-112.04199999999999,-147.35399999999998,-151.35399999999998,-15,-20,-17
1757632029.6714394,-112.12,-147.092,-142.81599999999997,-15,-20,-16
1757632032.7459188,-111.84899999999998,-146.88900000000004,-134.59400000000002,-15,-20,-15
1757632035.8208961,-111.843,-146.91699999999997,-126.30700000000002,-15,-20,-14
1757632038.8912,-111.90299999999999,-146.638,-117.66900000000001,-15,-20,-13
1757632041.965676,-111.98999999999998,-146.398,-109.55699999999999,-15,-20,-12
1757632045.0244114,-112.13899999999998,-146.309,-100.924,-15,-20,-11
1757632048.001403,-100.042,-145.821,-92.54799999999999,-15,-20,-10
1757632051.072389,-111.877,-145.68099999999998,-84.189,-15,-20,-9
1757632054.1457725,-111.95599999999999,-145.31400000000002,-74.955,-15,-20,-8
1757632057.20225,-111.83599999999998,-144.921,-66.55999999999999,-15,-20,-7
1757632060.178524,-99.97200000000001,-144.644,-57.83299999999999,-15,-20,-6
1757632063.253447,-111.928,-144.424,-49.614999999999995,-15,-20,-5
1757632066.327788,-111.84400000000001,-144.294,-41.269000000000005,-15,-20,-4
1757632069.3842738,-111.68599999999999,-143.99499999999998,-32.747,-15,-20,-3
1757632072.461276,-111.47,-143.68099999999998,-24.375999999999998,-15,-20,-2
1757632075.5372798,-111.553,-143.44500000000002,-16.598,-15,-20,-1
1757632078.597479,-111.08699999999999,-143.355,-7.861,-15,-20,0
1757632081.668868,-111.11299999999999,-143.042,-0.512,-15,-20,1
1757632084.730013,-111.50899999999999,-142.637,6.516,-15,-20,2
1757632087.7091715,-94.82300000000001,-142.327,15.229,-15,-20,3
1757632090.7844822,-110.96200000000002,-142.01399999999998,23.383000000000003,-15,-20,4
1757632093.844705,-111.127,-141.596,31.65,-15,-20,5
1757632096.9192126,-110.98700000000001,-141.704,40.125,-15,-20,6
1757632099.9921725,-111.027,-141.32,49.001999999999995,-15,-20,7
1757632103.064989,-111.08,-141.09099999999998,56.391999999999996,-15,-20,8
1757632106.1250854,-110.75999999999999,-140.86200000000002,65.067,-15,-20,9
1757632109.2047508,-111.08200000000002,-140.76600000000002,74.42699999999999,-15,-20,10
1757632112.2659292,-111.08099999999999,-140.613,83.053,-15,-20,11
1757632115.2425756,-99.656,-140.57699999999997,91.16600000000001,-15,-20,12
1757632118.3179958,-110.55700000000002,-140.315,99.932,-15,-20,13
1757632121.3932228,-110.81700000000001,-139.98600000000002,108.747,-15,-20,14
1757632124.4662063,-110.732,-139.421,116.772,-15,-20,15
1757632127.5223377,-110.82299999999998,-139.324,125.35,-15,-20,16
1757632130.5983622,-110.904,-139.186,134.243,-15,-20,17
1757632133.6742172,-110.494,-139.17799999999997,142.508,-15,-20,18
1757632136.7482176,-110.20400000000002,-138.59499999999997,150.856,-15,-20,19
1757632139.8184996,-110.38600000000001,-138.41000000000003,159.552,-15,-20,20
1757632142.8906946,-112.34100000000001,-141.941,-175.41299999999998,-15,-19,-20
1757632145.9612575,-112.122,-142.1,-166.602,-15,-19,-19
1757632149.034755,-111.953,-141.695,-158.599,-15,-19,-18
1757632152.1079261,-111.83599999999998,-141.872,-150.11399999999998,-15,-19,-17
1757632155.1830673,-111.98599999999999,-141.453,-141.912,-15,-19,-16
1757632158.2447646,-111.77799999999999,-141.21800000000002,-133.97200000000004,-15,-19,-15
1757632161.322309,-111.81200000000001,-140.60999999999999,-125.81799999999998,-15,-19,-14
1757632164.3967597,-111.83500000000001,-140.36599999999999,-116.763,-15,-19,-13
1757632167.47063,-111.924,-139.941,-108.71499999999999,-15,-19,-12
1757632170.5297627,-111.923,-139.81400000000002,-100.232,-15,-19,-11
1757632173.6017692,-111.89000000000001,-139.399,-92.254,-15,-19,-10
1757632176.5773196,-99.712,-139.002,-84.49499999999998,-15,-19,-9
1757632179.651513,-111.76799999999999,-138.869,-75.362,-15,-19,-8
1757632182.713351,-111.396,-138.72999999999996,-67.18,-15,-19,-7
1757632185.7906501,-111.43199999999999,-138.499,-58.738,-15,-19,-6
1757632188.8504555,-111.376,-138.119,-50.099999999999994,-15,-19,-5
1757632191.9217691,-111.151,-137.839,-41.337999999999994,-15,-19,-4
1757632194.9956548,-111.49499999999998,-137.71,-32.209,-15,-19,-3
1757632198.0701187,-111.478,-137.44500000000002,-24.561999999999998,-15,-19,-2
1757632201.1403174,-111.471,-136.93900000000002,-15.892,-15,-19,-1
1757632204.2153647,-111.282,-136.747,-7.425,-15,-19,0
1757632207.26981,-111.33099999999999,-136.636,0.132,-15,-19,1
1757632210.2491648,-94.67800000000001,-136.506,8.803,-15,-19,2
1757632213.323057,-111.149,-136.314,17.17,-15,-19,3
1757632216.3817356,-111.06700000000001,-136.02,25.355,-15,-19,4
1757632219.453109,-110.915,-135.796,34.038999999999994,-15,-19,5
1757632222.52956,-110.66,-135.565,41.732,-15,-19,6
1757632225.5906646,-110.90900000000002,-135.002,50.773,-15,-19,7
1757632228.5739582,-98.821,-134.85899999999998,58.898,-15,-19,8
1757632231.633605,-110.511,-134.59,67.22,-15,-19,9
1757632234.7050097,-110.73299999999999,-134.184,75.662,-15,-19,10
1757632237.781014,-110.92999999999999,-133.83999999999997,84.26,-15,-19,11
1757632240.8441556,-111.0,-133.80399999999997,92.49699999999999,-15,-19,12
1757632243.9191928,-110.66100000000002,-133.686,100.85,-15,-19,13
1757632246.9936185,-110.74000000000001,-133.287,108.897,-15,-19,14
1757632250.0680475,-110.622,-132.95700000000002,117.26799999999999,-15,-19,15
1757632253.1428792,-110.37899999999999,-132.88,125.76200000000003,-15,-19,16
1757632256.2035341,-110.40800000000002,-132.60399999999998,134.76799999999997,-15,-19,17
1757632259.2780375,-110.19699999999997,-132.43200000000002,142.823,-15,-19,18
1757632262.3513246,-110.13200000000002,-131.933,151.08099999999996,-15,-19,19
1757632265.425869,-109.86200000000001,-131.463,159.35399999999998,-15,-19,20
1757632268.5013006,-111.71200000000002,-135.227,-175.965,-15,-18,-20
1757632271.5618646,-111.76500000000001,-134.9,-167.447,-15,-18,-19
1757632274.6374743,-111.80699999999999,-134.357,-158.55599999999998,-15,-18,-18
1757632277.7149885,-111.739,-134.21999999999997,-150.91500000000002,-15,-18,-17
1757632280.789446,-111.66000000000001,-134.132,-142.648,-15,-18,-16
1757632283.8638709,-111.79099999999998,-133.98399999999998,-134.34,-15,-18,-15
1757632286.937794,-111.53500000000001,-133.45199999999997,-125.81300000000002,-15,-18,-14
1757632289.9978297,-111.994,-133.48999999999998,-117.32699999999997,-15,-18,-13
1757632293.074901,-111.76599999999999,-133.238,-108.97199999999998,-15,-18,-12
1757632296.1456919,-111.68000000000002,-132.94100000000003,-100.49299999999998,-15,-18,-11
1757632299.221585,-111.619,-132.637,-91.749,-15,-18,-10
1757632302.2819111,-111.37899999999999,-132.505,-83.979,-15,-18,-9
1757632305.3547919,-111.78,-132.243,-75.324,-15,-18,-8
1757632308.4292014,-111.619,-131.841,-67.00500000000001,-15,-18,-7
1757632311.5035033,-111.208,-131.51999999999998,-58.31500000000001,-15,-18,-6
1757632314.5759552,-111.401,-131.18099999999998,-50.08400000000001,-15,-18,-5
1757632317.635126,-111.08899999999998,-131.106,-41.407999999999994,-15,-18,-4
1757632320.7102294,-111.071,-130.68099999999998,-33.503,-15,-18,-3
1757632323.782958,-111.21600000000001,-130.62000000000003,-25.040000000000003,-15,-18,-2
1757632326.8537636,-111.19800000000001,-130.378,-16.145,-15,-18,-1
1757632329.927765,-110.952,-130.026,-7.931,-15,-18,0
1757632332.9847872,-111.36200000000001,-129.85000000000002,-0.026999999999999975,-15,-18,1
1757632336.0594585,-110.832,-129.545,8.093,-15,-18,2
1757632339.1341486,-111.005,-129.26600000000002,15.920000000000005,-15,-18,3
1757632342.195317,-110.90899999999999,-128.836,23.718,-15,-18,4
1757632345.2708397,-110.83900000000001,-128.672,32.108999999999995,-15,-18,5
1757632348.3478138,-110.579,-128.41,40.041,-15,-18,6
1757632351.4223282,-110.56300000000002,-128.30900000000003,48.348000000000006,-15,-18,7
1757632354.483959,-110.62,-127.91099999999999,56.678,-15,-18,8
1757632357.5563257,-110.38700000000001,-127.70900000000002,64.268,-15,-18,9
1757632360.618976,-110.33800000000001,-127.50699999999999,72.72900000000001,-15,-18,10
1757632363.5981789,-99.03299999999999,-127.46499999999999,81.301,-15,-18,11
1757632366.6608145,-110.8,-126.99099999999996,90.35400000000001,-15,-18,12
1757632369.738834,-110.157,-126.91800000000003,99.327,-15,-18,13
1757632372.8112257,-110.33300000000001,-126.273,107.441,-15,-18,14
1757632375.8703747,-110.40599999999999,-125.89499999999998,115.58999999999999,-15,-18,15
1757632378.8469882,-98.60799999999999,-125.773,123.70599999999999,-15,-18,16
1757632381.9254947,-109.897,-126.13399999999999,132.18,-15,-18,17
1757632384.9831104,-109.96,-126.11099999999999,140.811,-15,-18,18
1757632387.9633443,-99.075,-125.53099999999999,149.65000000000003,-15,-18,19
1757632391.0357258,-109.941,-125.221,157.92399999999998,-15,-18,20
1757632394.1087217,-111.69199999999998,-128.706,-176.357,-15,-17,-20
1757632397.1829731,-111.55,-128.807,-168.106,-15,-17,-19
1757632400.2554064,-111.21900000000001,-128.52900000000002,-159.12,-15,-17,-18
1757632403.3292887,-111.529,-128.36899999999997,-150.87400000000002,-15,-17,-17
1757632406.4013095,-111.343,-128.32200000000003,-142.73700000000002,-15,-17,-16
1757632409.4603074,-111.458,-127.975,-134.85399999999998,-15,-17,-15
1757632412.5359457,-111.29,-127.67699999999999,-126.50100000000002,-15,-17,-14
1757632415.606449,-111.397,-127.672,-118.51599999999999,-15,-17,-13
1757632418.6786356,-111.239,-127.18400000000001,-109.708,-15,-17,-12
1757632421.7525582,-111.14000000000001,-126.76500000000001,-101.157,-15,-17,-11
1757632424.8218625,-111.268,-126.36099999999999,-93.176,-15,-17,-10
1757632427.899802,-111.335,-126.23799999999999,-84.989,-15,-17,-9
1757632430.9731922,-110.939,-125.798,-75.854,-15,-17,-8
1757632434.0455437,-111.26000000000002,-125.60500000000002,-68.072,-15,-17,-7
1757632437.103231,-111.18499999999999,-125.526,-59.37299999999999,-15,-17,-6
1757632440.1752584,-111.275,-125.449,-50.722,-15,-17,-5
1757632443.2546349,-111.50699999999999,-125.21700000000001,-42.67700000000001,-15,-17,-4
1757632446.312724,-111.05699999999999,-124.796,-34.029999999999994,-15,-17,-3
1757632449.2893865,-99.47900000000001,-124.575,-25.834000000000003,-15,-17,-2
1757632452.3668282,-110.869,-124.545,-17.145,-15,-17,-1
